,permit#,permit_type_description,permit_subtype_description,date_entered,date_issued,construction_cost,address,city,state,zip,subdivision/lot,contact,purpose,council_district
10,2021013698,Building Residential - New,Duplex,3/8/2021,5/10/2021,322620,407A S 10TH ST,NASHVILLE,TN,37206,UNIT A 407 SOUTH 10TH STREET COTTAGES,TOUCHSTONE BUILDERS INC,"This permit to construct 407 S. 10th Street Unit A of new HPR/duplex family residence with 2661 sq ft of living space,  440 sq ft detached garage, and 264 sq ft of porches and decks. Minimum 5 ft side setbacks, minimum front setback at 55.22 ft and 20 ft minimum rear setback. Max allowed height 41.95'. Must conform to all easements on property. Maximum height of 1.5 to width ratio from natural grade. Maximum building coverage on total parcel not to exceed 40%..... Pursuant # 2006-1263 Metro Code of Laws, I (holder OF permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. Sidewalks are NOT required for this project. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required. must comply fully with metro council bills 2014-725 and 2014-770.  MHZC must review application.",6.0
11,2021015465,Building Residential - New,Duplex,3/15/2021,5/3/2021,550308,1309  CLIFTON LN,NASHVILLE,TN,37215,UNIT B 1307 CLIFTON LANE HOMES,PAROS GROUP LLC,"To construct ...Unit B� of HPR detached duplex with 4539 sf heated and cooled 532 sf garage and 342 sf porches/decks. 60' min front s/b 5' min side s/b 20' min rear s/b 3 story/45' max height 6' min distance between units.  

Sidewalk in lieu collected in error. Refund required.",25.0
12,2021016236,Building Residential - New,Duplex,3/17/2021,5/10/2021,257029,2123A  12TH AVE N,NASHVILLE,TN,37208,UNIT A TWENTYONE-TWENTYTHREE TWELFTH AVENUE NORTH,"JACKSON BUILDERS,LLC","To construct ...Unit A� of HPR attached duplex with 2120sf heated and cooled and 265sf porches/decks.  units attached.  max allowed height is 45' three floors max.  36.7' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",2.0
13,2021012602,Building Residential - New,Duplex,3/2/2021,5/11/2021,219929,302A  PRINCE AVE,NASHVILLE,TN,37207,UNIT A 302 PRINCE AVENUE HOMES,PAROS GROUP LLC,"To construct ...Unit A� of HPR detached duplex with 1814sf heated and cooled and 193sf porches/decks.  units detached.  max allowed height is 25.5'.  min required distance between structures is 6' min with no bump outs.  33.2' min front s/b; 5' min side s/b; 20' min rear s/b.  R6-A ZONING, ALL REQUIRED PARKING MUST BE BEYOND REQUIRED FRONT SETBACK.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",5.0
14,2021012603,Building Residential - New,Duplex,3/2/2021,5/11/2021,219081,302B  PRINCE AVE,NASHVILLE,TN,37207,UNIT B 302 PRINCE AVENUE HOMES,PAROS GROUP LLC,"To construct ...Unit B� of HPR detached duplex with 1807sf heated and cooled and 193sf porches/decks.  units detached.  max allowed height is 25.5'.  min required distance between structures is 6' min with no bump outs.  33.2' min front s/b; 5' min side s/b; 20' min rear s/b.  R6-A ZONING, ALL REQUIRED PARKING MUST BE BEYOND REQUIRED FRONT SETBACK.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",5.0
15,2021019206,Building Residential - New,Duplex,3/31/2021,5/12/2021,259090,569A  CROLEY DR,NASHVILLE,TN,37209,UNIT A 569 CROLEY DRIVE TOWNHOMES,THE MC2 GROUP INC,"To construct ...Unit A� of HPR detached duplex with 2137sf heated and cooled, 432sf attached garage and 217sf porches/decks.  units detached.  max allowed height is 40.05'.  min required distance between structures is 6' min with no bump outs.  41.1' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
16,2021019207,Building Residential - New,Duplex,3/31/2021,5/12/2021,259090,569B  CROLEY DR,NASHVILLE,TN,37209,UNIT B 569 CROLEY DRIVE TOWNHOMES,THE MC2 GROUP INC,"To construct ...Unit B� of HPR detached duplex with 2137sf heated and cooled, 432sf attached garage and 217sf porches/decks.  units detached.  max allowed height is 40.05'.  min required distance between structures is 6' min with no bump outs.  41.1' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
17,2021013789,Building Residential - New,Duplex,3/8/2021,5/13/2021,288066,1416B  BOSCOBEL ST,NASHVILLE,TN,37206,UNIT B HOMES AT 1416 BOSCOBEL STREET,LEGACY SOUTH BUILDERS LLC,"To construct a duplex unit 2376 heated/cooled square feet and porch 173 square feet.  MHZC must review application.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
18,2021002487,Building Residential - Rehab,Duplex,1/13/2021,1/21/2021,25000,2417  SELMA AVE,NASHVILLE,TN,37214,LOT 1 RE-SUB LOTS 4 & 5 NICHOLHURST SUB,SABIA CONSTRUCTION LLC,"Interior renovation of 450sf finished and 200sf of garage unconditioned.  No additional SF being added.  Complete gut of interior down to framing.  Structural repairs as needed.  New Electrical, partial new plumbing.  1 kitchen, 1 full bath.  Window Replacement.  1 car Garage cosmetic renovation.  no increase in number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",15.0
19,2021012946,Building Residential - Rehab,Duplex,3/4/2021,5/24/2021,20000,203  LEAKE AVE,NASHVILLE,TN,37205,LOT 1 RE-SUB LOTS 38TH43 COURTS OF BELLE MEADE,"Mark Poe Builders, Inc.","to conduct general repairs to include electric and pluming.  no increase to building footprint.  no increase in number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",23.0
20,2021030938,Building Residential - Addition,Duplex,5/17/2021,5/25/2021,48000,1623A  CHASE ST,NASHVILLE,TN,37216,UNIT A 1623 CHASE STREET TOWNHOMES,"PERCEFULL, RICHARD LEE, JR","Extending the first floor deck out the rear 10' x 17' wide and building a roof over the top. Enclosing the 17' wide x 6' deep second story rear deck and turning it into living space.  NO FRONT ADDITIONS ALLOWED THIS PERMIT.  5' MIN SIDE S/B; 20' MIN REAR S/B.  FOR EVERY 50' SITE FRONTAGE, A 24  X 36  D/F SIGN MUST BE PLACED IN ENGLISH AND SPANISH WITH INFORMATION IN REGARDS TO METRO COUNCIL BILL 2017-835.",7.0
21,2021025813,Building Residential - New,Duplex,4/26/2021,5/26/2021,341048,1313B  LISCHEY AVE,NASHVILLE,TN,37207,UNIT B 1313 LISCHEY AVENUE HOMES,PAROS GROUP LLC,"to construct 2813SF single family residence with 470SF garage and 160Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 40' per table. unit 1 of 2. lot coverage is 1957SF of max 5924SF lot coverage. not to be over any easements. Max height 3 stories or 37.3�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***.",5.0
22,2021025812,Building Residential - New,Duplex,4/26/2021,5/26/2021,341048,1313A  LISCHEY AVE,NASHVILLE,TN,37207,UNIT A 1313 LISCHEY AVENUE HOMES,PAROS GROUP LLC,"to construct 2813SF single family residence with 470SF garage and 160Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 40' per table. unit 1 of 2. lot coverage is 1957SF of max 5924SF lot coverage. not to be over any easements. Max height 3 stories or 37.3�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",5.0
23,2021017603,Building Residential - New,Duplex,3/24/2021,5/26/2021,323590,1804  6TH AVE N,NASHVILLE,TN,37208,UNIT A 1806 6TH AVENUE NORTH HOMES,PAROS GROUP LLC,"To construct ...Unit A� of HPR attached duplex with 2669sf heated and cooled and 859sf porches/decks.  units attached.  max allowed height is 45' three floors max.  22.2' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",19.0
24,2021013921,Building Residential - Rehab,Duplex,3/9/2021,5/26/2021,20000,205  LEAKE AVE,NASHVILLE,TN,37205,LOT 2 RE-SUB LOTS 38TH43 COURTS OF BELLE MEADE,"Mark Poe Builders, Inc.","to conduct general repairs to existing residence to include Plumbing and electrical work.  no increase to building footprint.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",23.0
25,2021017605,Building Residential - New,Duplex,3/24/2021,5/26/2021,324438,1806  6TH AVE N,NASHVILLE,TN,37208,UNIT B 1806 6TH AVENUE NORTH HOMES,PAROS GROUP LLC,"To construct ...Unit B� of HPR attached duplex with 2676sf heated and cooled and 877sf porches/decks.  units attached.  max allowed height is 45' three floors max.  22.2' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",19.0
26,2021030053,Building Residential - Rehab,Duplex,5/12/2021,5/27/2021,210000,1807  HAILEY AVE,NASHVILLE,TN,37218,PT OF LOT 51 HALEYS SUB SHEEGOG,Paul Davis Restoration,"Restoration from fire.  Full rewire, full re pipe, replace hvac, replace roof, replace siding, insulation, drywall, all interior finishes.  light framing only.  no increase to building footprint.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",2.0
27,2018048742,Building Residential - Rehab,Duplex,8/15/2018,8/15/2018,145000,946A  STROUSE AVE,NASHVILLE,TN,37206,LOT 183 TREVECCA SUB RENRAW,ALPHA & OMEGA DEVELOPMENT,"9/13/2018 (LB) TOTAL HOUSE RENOVATION: revised scope of work to include replacing exterior siding, repairing foundation, reframing walls, floor system, rafters, roofing repairs, cabinets, painting and insulation, fully renovating 3 bathrooms...Converting existing legally non-conforming duplex into a single family residence. Improvements to include replacing damaged siding, windows, doors, electrical, plumbing, HVAC, drywall, adding interior walls, removing second electrical meter. ***Pursuant to ordinance no. 2006-1263 of the metropolitan code of laws, I (the holder on this permit) hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction and demolition waste shall be stored on the property in violation of any provision of the metropolitan code**-",5.0
28,2020038324,Building Residential - Rehab,Duplex,6/22/2020,6/26/2020,10000,1204  HEIMAN ST,NASHVILLE,TN,37208,LOT 1 RE-SUB LOT 170 MCGAVOCK & WETMORE & OTHERS,Corey Allen,"Fix roof rafters and install new shingles on damaged part of home damaged from tornado.  no increase to building footprint.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  APPLICANT DID NOT PROVIDE CONTRACT AMOUNT.",21.0
29,2019016226,Building Use & Occupancy,Duplex,3/20/2019,4/25/2019,1,1320  BELLSHIRE TERRACE DR,NASHVILLE,TN,37207,LOT 15-B BELLSHIRE TERRACE SEC 1 PH 2 ZLD,SELF CONTRACTOR COMMERCIAL (SEE APPLICANT INFORMATION),to use one side of zero lot line duplex to keep six (6) mentally challenged individuals with residence manager.  POC DIONNE MCCLAIN 615-500-1049. NOTE: Applicant states five(5) individuals at this time and one(1) manager with understanding that sprinklers may be required for more than five residents.,3.0
30,2020038550,Building Residential - New,Duplex,6/22/2020,7/2/2020,208169,801  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1411 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 1717 sq. ft. single family house with an attached 395 sq. ft. two car garage.  House to be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
31,2021000653,Building Residential - New,Duplex,1/5/2021,1/25/2021,236418,306B  LUTIE ST,NASHVILLE,TN,37210,UNIT B 306 LUTIE COTTAGES,CENTRAL BUILDERS LLC,"To construct ...Unit B� of HPR attached duplex with 1950sf heated/cooled, 247sf porches/decks.  units detached.  max allowed height is 25'.  min required distance between structures is 6' min with no bump outs.  31' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",16.0
32,2019055175,Building Residential - Addition,Duplex,9/11/2019,9/12/2019,25000,1114B  RIVERWOOD DR,NASHVILLE,TN,37216,LOT 8 EASTDALE PL,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),"Construct 433 sq. ft. addition to the rear of unit B (left hand side from street) of the duplex. Addition to include a bedroom and a bathroom. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor�s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit. Minako Hofmann, 909-835-5059. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",7.0
33,2021019731,Building Residential - Rehab,Duplex,4/1/2021,4/8/2021,5000,3404  SAINDON ST,NASHVILLE,TN,37211,LOT 409 SEC 2 SUNRISE HGTS,"JBT Construction, LLC","Exterior Repairs/Interior Repairs-  No Change to building foot print.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  APPLICANT DID NOT PROVIDE CONTRACT INFORMATION.",16.0
34,2020007284,Building Residential - New,Duplex,2/3/2020,2/12/2020,176072,6056  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076,LOT 1202 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 1563 sq. ft. single family house with and attached 395 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
35,2019051365,Building Residential - Addition,Duplex,8/26/2019,8/27/2019,9997,430  SIENA DR,NASHVILLE,TN,37205,UNIT 430 THE CLOISTER AT ST. HENRY COND. PH 1-B,American Home design,"Increase existing concrete slab to  14' x 16' and install a 14' x 16' patio cover to rear of residence..NO electric required.  PRE 1998 PUDR MPC MUST APPROVE APPLICATION PRIOR TO ISSUANCE OF PERMIT.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",23.0
36,2020033641,Building Residential - New,Duplex,6/1/2020,6/10/2020,245269,802  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1222 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 2023 sq. ft. single family house with an attached 396 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
37,2020078707,Building Residential - Addition,Duplex,12/16/2020,1/26/2021,36857,941  DRUMMOND DR,NASHVILLE,TN,37211,LOT 2 BATTLEWOOD SEC. 3 RESUB. LOT 24,Green Home LLC,"Adding a 304 sq ft addition to rear and side which includes one bedroom and bathroom to 941 Drummond Dr. which is one side of a duplex (other unit is 939 Drummond Dr.). for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",16.0
38,2019045630,Building Residential - New,Duplex,7/31/2019,8/14/2019,165950,6042  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076,UNIT 1171 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 1959 sq. ft. single family home with an attached 39 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
39,2020080058,Building Residential - New,Duplex,12/28/2020,1/27/2021,334622,2C  BELLE FORREST AVE,NASHVILLE,TN,37206,UNIT A RESIDENCES AT TWO BELLE FORREST AVENUE,PAROS GROUP LLC,"To construct ...Unit A� of HPR detached duplex with 2760sf heated/cooled, 497sf attached garage, and 325sf porches/decks.  units detached.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  48.4' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36' d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",7.0
40,2019019218,Building Residential - Rehab,Duplex,4/3/2019,4/3/2019,275000,929  MONTROSE AVE,NASHVILLE,TN,37204,UNIT 929A HOMES AT 929 MONTROSE AVENUE,"BRITT DEVELOPMENT GROUP, LLC","to conduct general repairs to existing residence.  MHZC must approve application.  no increase in number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  PUBLIC WORKS STAFF PLEASE NOTE: INSTRUMENT REQUIRED FOR FUTURE SIDEWALK IMPROVEMENTS.  DO NOT IGNORE THIS APPLICATION.",17.0
41,2019013474,Building Residential - Addition,Duplex,3/7/2019,9/11/2019,67590,2256  CABIN HILL RD,NASHVILLE,TN,37214,LOT 1 SUNSET VIEW SECT 8 RESUB LOT 611,PRESTIGE REMODELING SOLUTIONS CORPORATION,"PER WALTER M --This is actually a duplex that will be used as Group home Residence.  It is not a commercial permit.  
parcel is zoned RS15.  this permit to construct a 24 x 25 addition to front of existing non-conforming duplex.  no increase in degree of non-conformity.  10' min side s/b; 20' min rear s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  56' min front s/b.",15.0
42,2019068551,Building Residential - Rehab,Duplex,11/7/2019,11/20/2019,557,2132  BRANSFORD AVE,NASHVILLE,TN,37204,LOT 10 CUMBERLAND PARK,DIXON HOLDING CO. LLC DBA ASCENSION GENERAL CONTRACTORS,"Fire burned both units in duplex, causing damage to framing, electrical, plumbing, and mechanical.  No change to footprint.  Remains a two unit, single story duplex.  parcel is zoned R6, contains 9000 sf lot area and is in a pre 1984 recorded subdivision.  no increase to building footprint.  no increase in number of dwelling units.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",17.0
43,2019011279,Building Residential - Rehab,Duplex,2/26/2019,2/26/2019,15000,2402B  DENNYWOOD DR,NASHVILLE,TN,37214,LOT 133 MAPLECREST,SHAMROCK HOLDINGS INC,PERMIT FOR GENERAL RENOVATIONS TO APARTMENT B OF EXISTING DUPLEX RESIDENCE� �CONVERT FIRST FLOOR WALLS BETWEEN KITCHEN AND FAMILY ROOMS INTO A KNEE WALL/PENINSULA� �RENOVATE SECOND FLOOR  BATHS� �CONVERT APT B PORTION OF EXISTING 1900 SQUARE FOOT FINISHED BASEMENT INTO LIVING SPACE� �NO CHANGE TO BUILDING/ROOF LINES OR FOOT PRINT� �,15.0
